
   INFO  Server running on [http://100.94.150.11:5281].  

  Press Ctrl+C to stop the server

  2025-05-07 09:49:47 / ................................................ ~ 1s
  2025-05-07 09:49:48 /livewire/livewire.js ............................ ~ 1s
  2025-05-07 09:49:48 /css/app.css ..................................... ~ 1s
  2025-05-07 09:49:49 /favicon.svg ................................. ~ 0.15ms
  2025-05-07 16:11:28 / .......................................... ~ 511.19ms
  2025-05-07 16:11:29 /css/app.css ............................... ~ 500.31ms
  2025-05-07 16:11:30 /livewire/livewire.js ............................ ~ 1s
  2025-05-07 16:11:32 /favicon.svg ................................. ~ 0.17ms
  2025-05-07 16:11:32 ............................................... ~ 1m 2s
