project_name,icon_filename,startup_script,port
jupyter,jupyter.svg,start_jupyter.sh,9742
gitea,logo.svg,gitea,8956
planka,planka.png,start_planka.sh,3663
connections,frontend/assets/images/logo.png,start.sh,7777
nextcloud,core/img/logo/logo.svg,start.sh,8228
minIO,minio-1.svg,start_minio.sh,9099
dbeaver,web/icons/logo_sm.svg,run.sh,8978
superset,superset.ico,start_superset.sh,6996
metabase,metabase.svg,start_metabase.sh,9870
uptime-kuma,public/icon.svg,start.sh,5072
cockpit,logo.png,start.sh,9090
tomcat,tomcat.png,bin/startup.sh,8080
hadoop,hadoop.svg,sbin/start-all.sh,6006
react-app,public/favicon.ico,start.sh,5098
next,app/favicon.ico,start.sh,5099
aimeos,public/vendor/shop/themes/default/assets/icon.png,start_aimeos.sh,4199
prestashop,img/favicon.ico,start.sh,4198
drawdb,public/favicon.ico,start.sh,7821
zookeeper,zookeeper.png,bin/zkServer.sh start,2081/commands
